id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Ease of Online booking,Gate location,Food and drink,Online boarding,Cleanliness,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Departure/Arrival time convenient,Arrival Delay in Minutes,Departure Delay in Minutes
1077,Female,Loyal Customer,55,Personal Travel,Eco,89,5,5,3,3,1,2,1,1,1,5,1,2,1,5,0,0
1080,Male,Loyal Customer,41,Personal Travel,Eco,89,3,0,2,0,2,2,2,4,3,3,2,2,2,4,141,140
10805,Female,disloyal Customer,50,Business travel,Eco,74,3,3,2,1,3,1,1,1,3,5,2,1,3,1,22,4
10864,Female,Loyal Customer,51,Business travel,Business,74,1,1,1,5,4,4,4,1,1,1,1,4,1,1,25,27
10867,Male,disloyal Customer,39,Business travel,Business,74,1,1,4,5,1,5,1,5,4,5,4,5,4,1,0,0
10897,Female,Loyal Customer,17,Business travel,Business,74,2,5,1,4,3,4,2,4,4,4,3,1,3,1,13,25
10939,Female,disloyal Customer,22,Business travel,Business,74,0,0,5,5,0,5,5,5,5,3,5,4,4,5,0,0
1094,Female,Loyal Customer,52,Personal Travel,Eco,89,4,4,3,4,5,5,5,5,5,4,4,3,5,4,0,0
10970,Female,Loyal Customer,75,Business travel,Eco,74,2,4,4,5,3,3,4,2,2,2,2,3,2,4,0,0
10985,Male,Loyal Customer,36,Business travel,Business,74,1,3,2,1,4,3,3,2,2,2,1,4,2,2,52,55
11079,Female,Loyal Customer,27,Personal Travel,Eco,74,0,0,5,2,0,2,2,2,4,4,5,5,4,4,0,0
11090,Female,Loyal Customer,40,Personal Travel,Eco,74,2,2,2,5,2,5,5,5,5,4,4,3,5,5,52,46
1111,Female,Loyal Customer,38,Personal Travel,Eco,89,3,3,5,3,3,3,3,3,4,4,5,5,4,5,0,0
11125,Male,Loyal Customer,9,Personal Travel,Eco,74,3,3,4,4,3,4,4,4,5,4,4,3,5,5,0,5
11133,Female,Loyal Customer,9,Personal Travel,Eco,74,5,5,2,3,5,3,4,3,3,2,5,5,5,4,0,0
11139,Male,Loyal Customer,15,Personal Travel,Eco,74,3,3,3,4,3,4,4,4,4,4,5,3,5,4,0,0
11169,Female,Loyal Customer,16,Personal Travel,Eco,74,1,1,4,3,1,3,3,3,5,2,5,5,5,5,56,58
1118,Female,Loyal Customer,69,Personal Travel,Eco,89,2,2,4,4,5,5,4,5,5,2,5,5,5,5,0,0
11214,Male,Loyal Customer,53,Personal Travel,Eco,74,2,2,2,4,2,4,4,4,3,5,5,3,5,5,0,0
11282,Female,Loyal Customer,67,Personal Travel,Eco,74,3,3,4,4,3,3,3,4,4,3,4,1,4,1,0,0
11287,Male,Loyal Customer,30,Personal Travel,Eco,74,3,3,1,2,3,2,2,2,4,5,5,3,4,5,0,0
11319,Female,Loyal Customer,25,Personal Travel,Eco,74,3,0,1,5,0,5,5,5,4,5,4,5,4,4,34,49
11333,Female,Loyal Customer,31,Personal Travel,Eco,74,3,3,4,3,3,3,3,3,3,5,3,2,3,4,0,0
1136,Male,Loyal Customer,28,Personal Travel,Eco,89,3,3,3,2,3,2,2,2,3,2,2,1,3,4,0,0
11360,Male,Loyal Customer,10,Personal Travel,Eco,74,1,1,3,2,1,2,2,2,5,5,4,4,5,4,0,0
11374,Male,Loyal Customer,29,Personal Travel,Eco,74,3,3,4,2,3,2,2,2,4,3,3,2,4,4,0,0
1148,Male,Loyal Customer,34,Personal Travel,Eco,89,2,2,4,1,2,1,1,1,4,3,4,5,5,4,0,0
1150,Female,Loyal Customer,15,Personal Travel,Eco,89,3,3,4,5,3,5,1,5,5,5,4,3,5,5,0,0
1163,Male,Loyal Customer,68,Personal Travel,Eco,89,4,0,3,2,0,2,2,2,3,3,5,5,4,5,0,0
1166,Female,Loyal Customer,31,Personal Travel,Eco,89,5,0,3,3,0,3,3,3,3,4,3,2,3,2,0,1
1176,Female,Loyal Customer,61,Personal Travel,Eco,89,1,1,3,1,3,2,3,5,5,1,2,3,5,1,0,0
120520,Female,Loyal Customer,59,Business travel,Business,96,3,3,3,3,4,4,4,4,4,4,4,3,4,3,0,0
120521,Male,unknown,25,Business travel,Business,96,5,5,4,5,5,5,4,5,3,4,5,5,4,0,0,0
120522,Female,disloyal Customer,37,Business travel,Business,96,4,4,4,4,4,4,4,4,4,3,4,3,4,4,124,123
120527,Female,unknown,30,Business travel,Eco,96,1,5,5,1,2,1,1,1,1,4,3,3,3,5,2,0
120529,Female,unknown,28,Personal Travel,Eco,96,2,0,2,1,0,1,1,1,3,5,4,5,5,5,0,0
120530,Male,unknown,12,Personal Travel,Eco,96,4,4,4,2,4,2,5,2,5,2,4,5,4,4,0,0
120531,Female,unknown,32,Personal Travel,Eco,96,3,0,2,5,0,5,2,5,4,2,4,5,4,5,9,0
120532,Female,Loyal Customer,7,Personal Travel,Eco Plus,96,1,1,1,4,1,4,4,4,4,3,5,3,4,4,0,0
120533,Female,unknown,12,Personal Travel,Eco Plus,96,3,3,4,1,3,1,1,1,1,2,4,1,4,2,0,0
120714,Female,disloyal Customer,47,Business travel,Business,90,1,2,3,1,1,1,4,1,4,1,3,4,4,2,19,3
120716,Male,unknown,40,Business travel,Business,90,2,2,2,3,5,5,4,5,5,5,4,4,5,2,0,0
120718,Female,Loyal Customer,41,Business travel,Business,90,4,4,4,5,4,5,5,3,4,5,5,5,4,1,210,64
120719,Female,unknown,55,Business travel,Business,90,3,3,3,4,4,5,5,5,5,5,5,3,5,3,0,0
120720,Female,unknown,40,Business travel,Eco,90,4,2,2,4,4,4,4,4,2,4,4,3,3,2,0,0
120721,Female,unknown,56,Business travel,Eco,90,4,2,2,5,4,3,3,5,5,4,5,4,5,2,0,0
120722,Male,unknown,21,Business travel,Eco,90,3,3,4,1,3,1,1,1,5,4,4,4,5,0,0,0
120723,Female,unknown,49,Business travel,Business,90,4,2,4,3,4,3,4,4,4,4,4,4,4,4,0,0
120724,Female,Loyal Customer,42,Business travel,Business,90,3,2,2,5,4,4,4,4,4,4,3,3,4,2,0,0
120725,Female,unknown,63,Personal Travel,Eco,90,4,0,5,2,2,3,2,4,4,0,4,2,4,5,0,2
120726,Female,unknown,37,Personal Travel,Eco,90,3,3,3,1,3,1,1,1,3,4,3,4,3,3,29,28
120727,Male,unknown,26,Business travel,Eco Plus,90,2,5,5,2,2,2,4,2,4,2,4,1,3,5,11,15
122004,Female,unknown,24,Business travel,Business,83,4,4,1,5,4,5,5,5,3,4,4,4,5,0,19,0
122011,Male,unknown,57,Business travel,Business,83,3,4,4,2,3,1,3,3,3,3,3,4,3,4,4,5
122060,Female,unknown,25,Business travel,Eco,83,1,1,3,1,1,1,1,1,4,4,4,1,3,1,11,0
122072,Female,unknown,29,Personal Travel,Eco,83,5,5,3,1,5,1,1,1,5,5,4,5,4,5,0,0
122087,Male,unknown,52,Personal Travel,Eco,83,3,3,3,4,3,4,4,4,3,5,3,1,3,1,0,0
122109,Male,unknown,38,Personal Travel,Eco,83,4,0,3,1,0,1,1,1,1,1,3,4,4,3,0,0
1224,Female,Loyal Customer,51,Personal Travel,Eco,89,3,0,2,2,5,4,5,2,2,0,2,3,2,5,0,0
123735,Female,unknown,35,Business travel,Business,96,3,3,4,2,3,2,2,2,4,3,4,1,4,3,15,0
123736,Female,unknown,50,Personal Travel,Business,96,4,0,3,3,4,4,4,3,3,0,3,4,3,4,3,0
123739,Male,unknown,33,Business travel,Business,96,3,3,2,1,3,1,1,1,4,5,4,4,5,3,0,0
123742,Male,unknown,57,Business travel,Eco,96,4,3,3,3,4,3,3,3,4,3,4,3,4,3,,16
123743,Female,unknown,36,Business travel,Eco,96,3,2,2,3,3,3,3,3,2,1,4,4,3,2,15,24
123745,Male,unknown,38,Business travel,Business,96,4,4,4,2,4,2,2,2,3,5,4,3,5,4,0,0
123746,Male,unknown,14,Personal Travel,Eco,96,5,0,4,1,0,1,1,1,2,2,4,1,3,1,0,0
123747,Female,unknown,8,Personal Travel,Eco,96,1,1,4,5,1,5,2,5,4,3,4,3,4,5,0,0
123748,Male,unknown,17,Personal Travel,Eco,96,2,2,3,5,2,5,4,5,5,2,5,5,4,5,0,0
123749,Male,unknown,44,Business travel,Eco Plus,96,4,1,1,4,4,4,4,4,4,3,3,3,4,1,1,0
123750,Female,unknown,69,Personal Travel,Eco Plus,96,4,4,3,1,3,4,4,3,3,4,3,4,3,4,0,0
124078,Female,unknown,38,Business travel,Business,80,0,0,3,5,5,5,5,3,3,3,3,4,3,5,14,0
124079,Male,unknown,27,Personal Travel,Eco,80,1,0,1,5,0,5,2,5,2,1,1,1,1,1,17,9
124080,Male,unknown,54,Business travel,Eco Plus,80,3,5,5,3,3,3,3,3,2,5,4,3,4,5,11,0
124593,Male,unknown,37,Business travel,Eco,100,3,5,5,3,2,3,3,3,2,3,4,1,4,5,24,7
1248,Female,Loyal Customer,29,Personal Travel,Eco,89,4,4,1,2,4,2,2,2,5,2,4,3,5,4,24,29
125057,Female,unknown,69,Personal Travel,Business,90,3,3,3,3,1,2,2,3,3,3,3,1,3,3,25,0
125058,Female,unknown,46,Personal Travel,Business,90,2,2,1,5,5,4,5,5,5,2,5,3,5,5,25,0
125059,Male,unknown,66,Personal Travel,Business,90,2,2,4,2,4,4,4,3,3,2,3,3,3,4,0,0
125060,Male,unknown,48,Business travel,Business,90,3,3,3,3,5,5,5,5,5,5,4,4,5,3,4,0
125061,Female,unknown,,Business travel,Business,90,1,1,1,4,4,4,4,5,5,5,5,3,5,1,4,0
125063,Female,unknown,41,Personal Travel,Eco,90,2,2,3,2,2,2,2,2,2,3,3,3,3,2,0,0
125064,Female,unknown,61,Personal Travel,Eco,90,5,5,3,2,4,3,3,2,2,5,2,2,2,4,0,0
125065,Female,unknown,32,Personal Travel,Eco,90,2,2,3,3,2,3,2,3,1,1,3,1,4,3,0,0
125066,Female,unknown,55,Personal Travel,Eco Plus,90,4,4,3,2,3,4,3,5,5,4,3,4,5,1,2,0
1256,Female,Loyal Customer,17,Personal Travel,Eco,89,3,3,1,5,3,5,3,5,3,4,5,5,5,4,0,0
1267,Male,Loyal Customer,19,Personal Travel,Eco,89,1,1,2,4,1,4,4,4,3,2,4,4,4,5,57,40
1269,Male,Loyal Customer,32,Personal Travel,Eco,89,2,2,3,1,2,1,5,1,3,5,4,4,4,4,11,1
1276,Male,Loyal Customer,68,Personal Travel,Eco,89,2,2,1,2,2,2,4,2,2,5,4,3,5,4,0,0
1277,Male,Loyal Customer,52,Personal Travel,Eco,89,3,3,5,1,3,1,3,1,1,2,3,1,5,4,13,16
1298,Male,Loyal Customer,55,Personal Travel,Eco,89,2,2,3,3,2,3,3,3,1,3,5,3,4,5,0,4
1308,Female,disloyal Customer,33,Business travel,Business,89,1,1,4,2,1,2,2,2,4,5,5,4,5,1,0,0
1317,Male,Loyal Customer,49,Business travel,Business,89,0,0,1,3,5,5,4,3,3,3,3,3,3,4,15,21
1381,Male,disloyal Customer,26,Business travel,Eco Plus,89,3,3,4,2,3,2,2,2,2,4,3,3,3,2,0,0
1400,Male,disloyal Customer,33,Personal Travel,Eco Plus,89,4,4,3,1,4,1,1,1,2,3,3,1,4,3,8,5
1403,Male,Loyal Customer,44,Personal Travel,Eco Plus,89,2,2,3,4,2,4,4,4,5,5,4,3,5,4,0,0
1408,Female,Loyal Customer,21,Personal Travel,Eco Plus,89,1,0,1,4,0,4,4,4,3,4,3,5,2,4,0,0
1420,Male,Loyal Customer,58,Personal Travel,Eco Plus,89,3,3,4,4,3,4,4,4,4,3,3,1,4,3,17,2
14794,Female,Loyal Customer,48,Business travel,Eco,95,5,3,3,1,2,2,1,5,5,5,5,1,5,3,0,0
14795,Male,disloyal Customer,43,Business travel,Eco,95,1,1,1,2,1,2,2,2,1,3,2,2,2,0,0,0
14796,Male,Loyal Customer,41,Business travel,Eco,95,5,3,3,5,5,5,5,5,2,5,3,2,3,3,17,38
14799,Female,Loyal Customer,51,Business travel,Eco,95,5,4,2,2,5,2,4,5,5,5,5,3,5,2,0,0
14803,Male,Loyal Customer,54,Business travel,Business,95,4,4,4,2,2,4,4,4,4,4,5,4,4,4,0,2
14805,Male,disloyal Customer,38,Business travel,Eco,95,3,3,3,3,3,3,3,3,2,5,3,1,4,3,59,87
14806,Female,disloyal Customer,56,Business travel,Eco,95,3,3,3,3,3,3,5,3,1,3,3,4,4,2,0,3
14807,Female,Loyal Customer,17,Business travel,Business,95,2,4,2,4,4,4,3,4,2,3,3,1,4,2,0,0
14808,Female,disloyal Customer,40,Business travel,Business,95,5,5,4,2,5,2,2,2,1,3,2,4,1,5,16,3
14810,Female,Loyal Customer,40,Personal Travel,Eco,95,5,0,4,1,0,1,1,1,5,2,3,2,5,3,0,0
14811,Female,Loyal Customer,20,Personal Travel,Eco,95,2,2,4,3,2,3,3,3,4,4,3,4,3,2,0,0
14812,Male,Loyal Customer,29,Personal Travel,Eco,95,4,4,4,1,4,1,2,1,3,1,4,2,4,1,8,0
14813,Male,Loyal Customer,11,Personal Travel,Eco,95,2,0,2,3,0,3,5,3,1,3,2,1,2,1,0,1
14814,Female,Loyal Customer,51,Personal Travel,Eco,95,2,2,2,4,4,1,4,5,5,2,5,5,5,4,0,1
14815,Female,Loyal Customer,58,Business travel,Eco Plus,95,2,2,2,2,1,5,4,2,2,2,2,5,2,2,0,0
14816,Female,disloyal Customer,24,Business travel,Eco,95,2,2,4,5,2,5,5,5,3,4,3,3,3,3,0,0
14817,Male,Loyal Customer,42,Personal Travel,Eco Plus,95,1,1,1,1,1,1,5,1,2,1,1,3,4,4,120,115
1767,Female,Loyal Customer,48,Business travel,Business,100,5,5,5,4,5,5,5,4,4,4,4,4,4,5,0,0
17935,Male,Loyal Customer,51,Business travel,Business,95,5,5,5,1,2,5,5,5,5,5,5,1,5,5,0,0
17937,Female,Loyal Customer,35,Business travel,Eco,95,5,2,2,5,5,5,5,5,3,1,1,1,3,2,2,10
17940,Male,disloyal Customer,23,Business travel,Eco,95,2,2,2,5,2,5,5,5,1,2,3,1,2,2,81,81
17942,Male,Loyal Customer,54,Personal Travel,Eco,95,2,2,3,2,2,2,2,2,5,3,1,2,3,3,28,0
17943,Female,Loyal Customer,24,Personal Travel,Eco,95,4,4,4,2,4,2,2,2,5,4,5,4,4,5,0,0
17944,Male,Loyal Customer,7,Personal Travel,Eco,95,3,3,3,5,3,5,3,5,3,1,2,3,5,4,4,0
17946,Female,Loyal Customer,49,Personal Travel,Eco,95,2,2,1,3,1,2,2,1,1,2,1,1,1,3,6,0
17947,Male,Loyal Customer,43,Personal Travel,Eco,95,3,0,3,3,0,3,3,3,1,4,4,2,4,3,0,0
19457,Male,Loyal Customer,60,Business travel,Business,84,2,1,2,5,5,5,4,5,5,5,5,3,5,2,57,46
19458,Male,Loyal Customer,35,Personal Travel,Business,84,3,3,3,4,4,4,3,4,4,3,4,3,4,2,0,0
19467,Male,Loyal Customer,39,Business travel,Business,84,0,0,2,5,2,4,4,2,2,3,3,5,2,3,0,0
19472,Male,Loyal Customer,41,Business travel,Eco,84,1,5,5,1,1,1,1,1,1,3,2,1,3,5,133,149
19476,Male,Loyal Customer,45,Business travel,Eco,84,1,4,4,2,1,2,2,2,2,3,3,2,3,4,53,41
19480,Female,disloyal Customer,23,Business travel,Business,84,3,3,3,2,3,2,2,2,3,1,4,3,4,2,50,61
19485,Female,Loyal Customer,56,Personal Travel,Eco,84,3,0,3,1,3,4,4,2,2,0,2,3,2,2,19,0
19486,Male,Loyal Customer,33,Personal Travel,Eco,84,4,4,3,5,4,5,5,5,2,3,3,2,3,2,0,0
19487,Female,Loyal Customer,28,Personal Travel,Eco,84,4,0,1,2,0,2,2,2,3,2,4,5,4,4,10,22
19490,Male,disloyal Customer,17,Business travel,Eco,84,3,3,4,2,3,2,2,2,2,2,3,2,3,3,49,60
20439,Male,disloyal Customer,25,Business travel,Business,84,3,3,3,2,3,2,3,2,3,2,3,2,4,3,10,18
20441,Male,disloyal Customer,21,Business travel,Eco,84,5,5,2,5,5,5,5,1,5,4,1,5,5,0,320,294
20444,Male,Loyal Customer,45,Business travel,Business,84,4,4,4,1,4,1,4,5,5,5,4,2,5,4,10,14
20449,Female,Loyal Customer,53,Business travel,Eco,84,5,5,5,3,5,4,5,5,5,5,5,5,5,5,0,0
20451,Female,Loyal Customer,44,Business travel,Business,84,3,3,3,5,4,2,4,5,5,5,4,5,5,3,29,42
20452,Male,disloyal Customer,40,Business travel,Eco,84,3,3,2,1,3,1,1,1,2,4,2,2,3,3,103,103
20455,Male,Loyal Customer,27,Business travel,Business,84,5,5,5,5,5,5,4,5,5,1,1,1,3,5,0,0
20461,Female,disloyal Customer,42,Business travel,Eco,84,3,3,1,5,3,5,5,5,5,5,3,5,4,5,34,0
20462,Female,disloyal Customer,35,Business travel,Eco,84,4,4,2,5,4,5,5,5,3,4,2,1,2,1,0,0
20466,Male,Loyal Customer,60,Personal Travel,Eco,84,0,0,3,3,0,3,3,3,4,1,3,2,4,1,0,0
20469,Female,Loyal Customer,48,Personal Travel,Eco,84,2,2,3,3,3,1,3,3,3,2,2,4,3,2,3,0
20470,Female,Loyal Customer,12,Personal Travel,Eco,84,5,5,1,3,5,3,3,3,3,2,2,4,2,1,0,0
20475,Female,Loyal Customer,10,Personal Travel,Eco Plus,84,2,2,4,2,2,2,2,2,5,3,4,5,4,4,1,12
22244,Male,Loyal Customer,23,Personal Travel,Business,83,4,0,3,5,0,5,5,5,3,5,4,3,5,5,0,0
22248,Male,disloyal Customer,20,Business travel,Eco,83,3,2,1,4,2,4,4,4,1,3,1,2,5,4,0,0
22257,Male,Loyal Customer,51,Business travel,Business,83,0,0,2,1,3,1,5,5,5,5,5,3,5,4,0,0
22265,Male,Loyal Customer,33,Business travel,Business,83,0,0,1,3,3,3,3,3,5,4,5,1,3,5,0,0
22277,Male,disloyal Customer,24,Business travel,Eco,83,3,3,4,5,3,5,2,5,5,4,3,5,3,0,0,0
22280,Male,Loyal Customer,59,Business travel,Eco,83,4,3,3,4,4,4,4,4,5,4,4,3,5,3,0,0
22284,Female,Loyal Customer,30,Business travel,Business,83,5,4,5,5,5,5,4,5,4,1,3,3,3,5,0,0
22303,Female,Loyal Customer,56,Business travel,Business,83,5,5,5,3,4,1,3,5,5,5,5,3,5,5,0,0
22308,Female,Loyal Customer,45,Business travel,Eco,83,2,4,4,3,2,3,3,2,2,2,2,2,2,4,0,0
22310,Male,disloyal Customer,16,Business travel,Eco,83,1,1,3,4,1,4,4,4,2,5,4,1,4,3,31,39
22333,Female,Loyal Customer,35,Business travel,Business,83,1,1,1,5,5,5,5,5,4,4,2,5,5,1,0,0
22351,Male,disloyal Customer,21,Business travel,Eco,83,2,2,2,4,2,4,4,4,1,3,2,1,1,2,5,8
22363,Male,Loyal Customer,35,Business travel,Business,83,1,5,1,1,5,2,2,5,5,4,5,5,5,1,0,1
22366,Male,Loyal Customer,33,Business travel,Business,83,3,5,5,2,2,2,3,2,2,5,4,1,3,5,0,0
22371,Female,Loyal Customer,33,Business travel,Eco,83,0,0,3,4,0,4,4,4,4,1,2,1,4,0,0,0
22372,Female,disloyal Customer,54,Business travel,Eco,83,2,2,4,3,2,3,3,3,1,3,3,3,4,3,0,0
22376,Female,Loyal Customer,50,Business travel,Business,83,3,4,4,5,3,2,4,2,2,2,3,4,2,4,7,11
22384,Female,Loyal Customer,37,Business travel,Eco,83,4,2,2,4,4,4,4,4,4,2,3,1,3,2,0,0
22385,Female,disloyal Customer,18,Business travel,Eco,83,5,5,2,4,5,4,4,4,5,5,2,2,2,0,0,0
22387,Male,disloyal Customer,25,Business travel,Eco,83,3,3,4,1,3,1,1,1,1,2,4,4,4,3,21,27
22394,Male,Loyal Customer,45,Business travel,Business,83,2,3,2,1,2,3,4,4,4,4,4,1,4,2,0,0
22402,Male,Loyal Customer,48,Business travel,Eco,83,2,5,5,2,2,2,2,2,1,4,2,2,2,5,0,0
22422,Female,Loyal Customer,38,Personal Travel,Eco,83,5,5,2,3,5,3,3,3,5,1,1,2,1,4,69,39
22435,Female,Loyal Customer,42,Personal Travel,Eco,83,2,2,4,4,5,3,5,2,2,2,2,5,2,5,7,0
22448,Female,Loyal Customer,21,Personal Travel,Eco,83,2,0,3,5,0,5,5,5,4,4,4,3,5,4,0,0
22453,Female,Loyal Customer,8,Personal Travel,Eco,83,2,2,3,1,2,1,1,1,5,4,3,3,2,5,0,0
22462,Male,Loyal Customer,35,Personal Travel,Eco,83,4,4,3,4,4,4,4,4,3,4,4,4,4,5,0,11
22470,Male,Loyal Customer,50,Personal Travel,Eco,83,3,0,3,2,0,2,2,2,4,2,4,4,5,4,2,5
22472,Male,Loyal Customer,47,Personal Travel,Eco,83,1,1,3,5,1,5,5,5,4,5,2,2,3,3,0,0
22477,Female,Loyal Customer,17,Personal Travel,Eco,83,2,0,2,2,0,2,2,2,3,5,5,5,4,4,0,0
22483,Male,Loyal Customer,51,Personal Travel,Eco,83,5,0,4,3,0,3,3,3,3,5,3,3,5,5,0,0
22486,Female,Loyal Customer,19,Personal Travel,Eco,83,1,1,4,2,1,2,4,2,3,4,4,5,4,5,0,0
22497,Female,Loyal Customer,36,Personal Travel,Eco,83,4,4,3,5,4,5,1,5,4,3,3,3,4,4,0,0
22498,Female,Loyal Customer,35,Personal Travel,Eco,83,4,4,4,3,4,3,3,3,5,5,4,3,4,4,6,11
22502,Female,Loyal Customer,8,Personal Travel,Eco,83,2,2,1,1,2,1,1,1,5,3,5,4,4,4,0,0
22504,Female,disloyal Customer,30,Business travel,Eco Plus,83,2,3,1,3,3,3,3,3,3,2,1,3,1,3,0,0
22509,Male,Loyal Customer,60,Business travel,Eco Plus,83,4,1,1,4,4,4,4,5,3,4,4,4,1,1,186,195
22511,Male,disloyal Customer,38,Business travel,Eco Plus,83,1,2,4,5,2,5,5,5,1,4,5,5,1,2,11,5
22520,Female,Loyal Customer,30,Business travel,Eco Plus,83,2,5,1,2,2,2,2,2,4,3,3,4,2,1,6,0
22540,Male,Loyal Customer,49,Personal Travel,Eco Plus,83,4,4,1,4,4,4,4,4,4,4,4,5,5,5,0,0
23643,Male,Loyal Customer,59,Business travel,Business,73,3,3,3,5,4,4,4,3,3,4,5,4,3,5,18,13
23649,Male,disloyal Customer,21,Business travel,Eco,73,3,3,4,3,3,3,4,3,3,5,5,5,5,0,0,0
23650,Male,Loyal Customer,31,Personal Travel,Business,73,3,3,3,4,3,4,4,4,3,2,4,2,1,3,0,0
23654,Male,Loyal Customer,42,Business travel,Business,73,1,1,1,1,2,3,4,4,4,4,5,3,4,1,43,50
23655,Female,Loyal Customer,48,Business travel,Eco,73,5,1,1,2,1,4,2,3,3,5,3,2,3,1,0,0
23656,Female,disloyal Customer,50,Business travel,Eco,73,3,3,3,3,4,4,4,3,1,3,2,4,4,0,205,195
23676,Male,disloyal Customer,22,Business travel,Eco,73,4,4,2,2,4,2,1,2,1,3,1,1,5,0,0,0
23685,Female,Loyal Customer,69,Business travel,Eco,73,1,3,3,1,4,3,4,2,2,1,2,2,2,3,0,0
23686,Male,Loyal Customer,50,Business travel,Eco,73,4,1,1,4,4,4,4,4,1,1,3,1,4,1,0,0
23688,Female,Loyal Customer,24,Business travel,Business,73,2,4,4,3,3,3,2,3,2,2,4,1,3,4,20,26
23689,Female,Loyal Customer,51,Business travel,Eco,73,3,2,3,3,3,3,3,4,3,3,3,3,4,3,160,152
23697,Female,Loyal Customer,40,Business travel,Eco,73,1,1,1,1,1,1,1,1,4,1,4,3,3,1,24,1
23713,Female,Loyal Customer,66,Personal Travel,Eco,73,3,3,3,2,4,4,5,2,2,3,2,4,2,5,0,0
23715,Female,Loyal Customer,24,Personal Travel,Eco,73,3,0,2,3,0,3,1,3,2,3,3,1,2,5,0,7
23717,Male,Loyal Customer,18,Personal Travel,Eco,73,3,3,3,4,3,4,4,4,4,2,3,4,3,1,0,0
23719,Male,Loyal Customer,41,Personal Travel,Eco,73,1,1,1,3,1,3,3,3,5,1,4,2,4,3,0,4
23721,Male,Loyal Customer,33,Personal Travel,Eco,73,4,4,4,1,4,1,1,1,3,4,3,4,4,4,0,0
23728,Male,Loyal Customer,28,Personal Travel,Eco Plus,73,4,4,4,3,4,3,3,3,3,5,4,2,4,3,37,42
29748,Male,Loyal Customer,46,Business travel,Business,95,1,4,1,3,4,3,5,5,5,5,4,3,5,1,0,1
29767,Male,disloyal Customer,22,Business travel,Business,95,5,5,3,1,5,1,1,1,3,4,4,5,5,0,0,0
29777,Female,Loyal Customer,37,Personal Travel,Business,95,2,2,1,1,4,5,1,5,5,2,5,2,5,3,0,0
29795,Female,Loyal Customer,30,Business travel,Business,95,4,4,4,3,4,3,3,3,4,1,4,5,4,4,16,2
29810,Male,disloyal Customer,54,Business travel,Eco,95,1,1,3,3,1,3,3,3,5,4,1,5,5,0,0,0
29811,Female,Loyal Customer,43,Business travel,Eco,95,5,2,2,5,3,2,4,5,5,5,5,3,5,2,0,0
